,success_ratio
success_ratio,1.0
successful,0.7494691385412006
mac,0.12212319615414166
linux,0.11633794843010956
price,0.07645489290365266
indie,0.07307956346724716
singleplayer,0.06108073997967481
classic,0.05745533680091829
puzzle,0.05451579712419404
platformer,0.05448344512216174
great_soundtrack,0.04908685370754177
anime,0.04907045014559116
shoot_em_up,0.04669345294114459
2d,0.04637115431546035
female_protagonist,0.04601786173338624
point_&_click,0.04562613431162703
local_co_op,0.04481651688284122
side_scroller,0.044534719096613634
story_rich,0.044126238021276194
controller,0.04358884712803822
arcade,0.04345569388029416
puzzle_platformer,0.04232882434655293
adventure,0.04222153572843926
retro,0.04206580875910311
difficult,0.04001015093660415
atmospheric,0.03912134288188266
casual,0.038710804581279484
visual_novel,0.038422036302121584
local_multiplayer,0.038312749879413785
rpg,0.036854069426092956
minimalist,0.03651360324740719
rogue_lite,0.036150532037532455
action,0.03561565037136784
pixel_graphics,0.035447170265338473
cute,0.035214117037581656
sexual_content,0.03509494984136413
rpgmaker,0.034394469947081535
sci_fi,0.03350747608938141
score_attack,0.032053214875286576
vr_only,0.03180664861656577
twin_stick_shooter,0.03129956030899746
fantasy,0.03127406335043105
touch_friendly,0.03091316537319244
mystery,0.030808156688271828
turn_based,0.030614646687554238
horror,0.030489586784404638
positive_ratings,0.03024034906326193
metroidvania,0.029869151302309205
rogue_like,0.029867440996495142
dark,0.029246779627040517
masterpiece,0.02892313766853722
nudity,0.028360301297480687
old_school,0.027493151927491088
family_friendly,0.0269754176210666
strategy,0.026742284679849855
co_op,0.026709597131075753
replay_value,0.026674700799214135
top_down_shooter,0.02662214369964645
gamemaker,0.026424377019715957
comedy,0.02627611307191192
4_player_local,0.026159129876902602
funny,0.026082567250709773
total_ratings,0.025750027896705514
dungeon_crawler,0.025635445504618146
1990s,0.02543464382593624
surreal,0.02528098570928097
beat_em_up,0.02525677269341715
top_down,0.025217707494833937
jrpg,0.0251207320998347
isometric,0.024958871752009674
text_based,0.024884738498516943
gore,0.024749617744246888
romance,0.024561187919141903
hack_and_slash,0.024343548084511106
sokoban,0.02372485385168304
memes,0.023717224944721782
short,0.023489816609007865
otome,0.023454919495046155
time_management,0.023428762311941943
vr,0.02334499711017971
colorful,0.02331095635631537
detective,0.022886580809399894
dating_sim,0.022598058772558764
addictive,0.022320191622138528
multiplayer,0.02221940092432195
remake,0.02198274367363322
3d_platformer,0.021912527738555915
psychological_horror,0.021884603575664432
beautiful,0.021788593935178208
first_person,0.02165901915683851
action_rpg,0.021599991897937664
moddable,0.021470270124397988
music,0.02143919856414466
hidden_object,0.021346054589308192
exploration,0.02131674884748201
aliens,0.021215285702661537
action_adventure,0.02116760151240283
bullet_hell,0.0211540883646597
abstract,0.02100760013343634
survival_horror,0.02093747786454793
cyberpunk,0.020901971774975818
programming,0.020720341312793048
sandbox,0.02070409071737035
character_customization,0.020674984438873386
online_co_op,0.020624194446312787
dystopian_,0.02047113387733282
average_playtime,0.020406582386762528
level_editor,0.019875155352188
turn_based_combat,0.0198723584154344
runner,0.019822820483568745
party_based_rpg,0.019816772992711
perma_death,0.019690045233251546
interactive_fiction,0.019642156818065477
real_time_with_pause,0.019630375986851394
fast_paced,0.01959913396503032
cult_classic,0.019464653038365688
soundtrack,0.019440227252494675
physics,0.01938874228306168
dark_humor,0.019379380138084323
relaxing,0.019257479369222567
hand_drawn,0.019247436744590035
stealth,0.01923091586644877
choices_matter,0.01921240290582881
management,0.019127431249367624
rts,0.01875823035225004
fmv,0.01848324193749859
choose_your_own_adventure,0.01842453091215008
crpg,0.01824629971583729
fps,0.01810523325076785
rhythm,0.01810049276416346
drama,0.018099480170722503
2.5d,0.017851233123222468
logic,0.01778953954004589
faith,0.01773411287539367
cats,0.017408666241436326
2d_fighter,0.017311930342353926
kickstarter,0.017241333029981216
emotional,0.017233908681059954
multiple_endings,0.017194738154253243
3d_vision,0.017087981877944292
psychological,0.01702150659460924
tower_defense,0.01698246143194205
stylized,0.016920495772268996
turn_based_tactics,0.016869320549067337
tactical_rpg,0.01680917688203011
dark_comedy,0.016774719276513434
medieval,0.016724031276279836
historical,0.01641822229993912
1980s,0.01630767126885097
open_world,0.016240533830011
fighting,0.016107595453760837
noir,0.016068115621508634
experimental,0.016047024570791144
time_attack,0.016025393902815474
steampunk,0.015948347341195976
parody_,0.01590203265930769
education,0.015765926252624046
comic_book,0.015542113311724082
mouse_only,0.015077262752939455
match_3,0.014870784015551397
shooter,0.014842741928267244
building,0.01475897018522191
resource_management,0.014482704571447456
space,0.01437492416752099
magic,0.014259871002991857
dark_fantasy,0.014211917953052837
design_&_illustration,0.01413825967114155
lovecraftian,0.014105231797211317
philisophical,0.014077373427410765
turn_based_strategy,0.014025331838968098
realistic,0.013852132402509603
simulation,0.013788798895680937
third_person,0.013749166706068244
gothic,0.013705527588043574
silent_protagonist,0.013665925304591122
bullet_time,0.013588461540062016
crafting,0.013379033322412321
satire,0.013330360426496478
tactical,0.013267051757966379
cinematic,0.013249969043992876
cold_war,0.013248047451805228
median_playtime,0.013233298084076974
superhero,0.01308764631096896
split_screen,0.013085841078622632
parkour,0.013022525760523592
robots,0.012947719463228093
supernatural,0.012802126038228204
loot,0.012698086496438873
episodic,0.0126844823318859
narration,0.012670716415925203
team_based,0.012636601710363333
science,0.012480557729716096
economy,0.012450561875795478
star_wars,0.012408622397004236
base_building,0.012291202071519508
crowdfunded,0.012213441977319621
nsfw,0.01217549128368978
mature,0.012127397266209641
grid_based_movement,0.01202369195826025
strategy_rpg,0.012014119461332778
destruction,0.011850219905477832
arena_shooter,0.011705278116673826
western,0.01161549986875849
war,0.011514027019741652
game_development,0.011486219230982328
epic,0.011466800775459376
driving,0.011460767691945106
military,0.011420814939064694
thriller,0.011241765269112918
real_time,0.011231748808527679
villain_protagonist,0.011150017935277983
artificial_intelligence,0.011099222695095669
free_to_play,0.011024495941231656
character_action_game,0.011001358196309274
alternate_history,0.010909703696239182
survival,0.010789800000981897
cartoon,0.01077437689674007
demons,0.010670361019215877
inventory_management,0.010471671624611757
psychedelic,0.010449812769493198
nonlinear,0.010433904031529734
based_on_a_novel,0.010288022867279553
required_age,0.01025412547422666
time_manipulation,0.010241924500223381
blood,0.01014611756527213
ninja,0.010106528652585078
grand_strategy,0.010017694302918883
co_op_campaign,0.00997240678507633
competitive,0.009954661060096933
word_game,0.00983511965136751
time_travel,0.009768856934496301
city_builder,0.009727384254664639
political,0.009688916097762344
mechs,0.009650459864528116
lego,0.009541721293756206
spectacle_fighter,0.009536979588886278
post_apocalyptic,0.009488202632752593
software,0.00947762002387729
hex_grid,0.009330705518261186
lara_croft,0.009289565830420966
web_publishing,0.009245329884352806
typing,0.009204148640931258
dynamic_narration,0.009110288876376186
mythology,0.009092118318792995
diplomacy,0.009081218991805074
assassin,0.009062502685779013
cartoony,0.008886735698016146
agriculture,0.008855040829756121
batman,0.008837359068203612
wargame,0.00877836733935867
swordplay,0.008731046878066556
music_based_procedural_generation,0.008685336114531424
movie,0.008672348920760242
lore_rich,0.008616168687011544
trackir,0.008614725182320988
zombies,0.008563388523434193
souls_like,0.00855575441371906
mod,0.00819118811816431
animation_&_modeling,0.008176550581789835
underwater,0.008159941267530986
pirates,0.008128943495396685
real_time_tactics,0.008106198080740598
god_game,0.008080520386868784
voxel,0.007956436574695474
horses,0.007926463864048246
linear,0.007889536420202223
sequel,0.007875287505387577
america,0.0077942052901293175
card_game,0.007688376329032215
4x,0.007543343575491342
clicker,0.007515153724179877
vampire,0.007413551713128613
foreign,0.007347269423106862
martial_arts,0.007336143212933882
procedural_generation,0.007283686440569896
quick_time_events,0.0071526822964752415
fishing,0.006979770785497952
walking_simulator,0.006979675182891315
early_access,0.006924386680300555
trading,0.006866445230645224
minigames,0.006852783180000218
board_game,0.006697602939744271
class_based,0.006660254679578759
dungeons_&_dragons,0.006583963611264592
futuristic,0.006568143139114693
6dof,0.006552259781303655
world_war_i,0.006507328257060888
unforgiving,0.006324958920784804
e_sports,0.0062190245581987425
lemmings,0.00616256322965161
capitalism,0.006083380903191461
baseball,0.006008059878227272
skating,0.005984317597571673
tennis,0.005785036695613148
mystery_dungeon,0.00575058167498573
3d,0.005731770652639763
world_war_ii,0.0057092429616699405
dragons,0.005437193149399783
politics,0.005424407899611888
intentionally_awkward_controls,0.0053837675155098555
mini_golf,0.005346200660004403
benchmark,0.005281041121422091
pve,0.0050444143297297996
sailing,0.004769117816187893
hockey,0.004726438364419039
third_person_shooter,0.004473372668428955
heist,0.004365457138647369
voice_control,0.004363428665727486
soccer,0.004277008118925103
naval,0.00423976749808459
bmx,0.004189211678085657
moba,0.004144208337552509
spelling,0.00394752415678272
asynchronous_multiplayer,0.0039026421336483402
rome,0.0038065956859686004
football,0.003743557739428278
documentary,0.00367111858435602
steam_machine,0.003586901465882645
gun_customization,0.003455754400636943
investigation,0.003355436433041356
video_production,0.003191062320869259
transhumanism,0.0030655689129408005
flight,0.002843971036536313
tanks,0.0027683980830435187
jet,0.0027661292389299734
warhammer_40k,0.0027599342242572702
tutorial,0.002401959784976258
on_rails_shooter,0.00230891766579483
chess,0.0022902978118827418
golf,0.0022152096968932533
violent,0.0021100998410770017
cycling,0.002105003286368819
conspiracy,0.0020792238246896836
snowboarding,0.001954584759663187
crime,0.0018780577268480568
pvp,0.0018642141746974378
games_workshop,0.0018516658327378938
trains,0.0018278369398751495
pool,0.0017361001881406849
hacking,0.0016830889157463183
skateboarding,0.0015766537099746935
skiing,0.001450657413410939
experience,0.0013610376378293198
offroad,0.0010986601742538564
bowling,0.0010155564155745478
utilities,0.0007812314993072858
negative_ratings,0.0007757765236252897
racing,0.0007317618291668443
werewolves,0.0006260811464702862
bikes,0.0005577298938499063
software_training,0.000495655622930183
sniper,0.00047539827382062343
space_sim,0.0004608298825813191
pinball,0.0003822643714328423
snow,0.00031293528442479207
illuminati,0.00026893252837435424
modern,-0.00041841582096015744
dinosaurs,-0.0005769924507429973
submarine,-0.0013063486226902754
mining,-0.001410576388891541
wrestling,-0.0015264994127737236
mmorpg,-0.0018000173848676548
massively_multiplayer,-0.0029330357107581017
atv,-0.0032000811380374855
hunting,-0.0032027079477995853
trading_card_game,-0.003626131286214944
dog,-0.004090622060012058
windows,-0.004689391264984277
mars,-0.004849419256057499
motocross,-0.004988810835820059
motorbike,-0.005123700757184947
photo_editing,-0.005490953614922011
360_video,-0.006155261069512516
conversation,-0.007017953304055573
battle_royale,-0.0073362886085739445
hardware,-0.007780267246942851
audio_production,-0.010166011930123274
basketball,-0.010243493815102419
gambling,-0.010817430956179215
sports,-0.011507349625413022
gaming,-0.011820010657167515
underground,-0.01728728790700477
english,-0.017598612208558462
appid,-0.02204905970097277
achievements,-0.022419765544155056
feature_film,
